"Control_Participant1"	"Control_Participant10"	"Control_Participant11"	"Control_Participant12"	"Control_Participant13"	"Control_Participant14"	"Control_Participant15"	"Control_Participant16"	"Control_Participant17"	"Control_Participant18"	"Control_Participant19"	"Control_Participant2"	"Control_Participant20"	"Control_Participant21"	"Control_Participant3"	"Control_Participant4"	"Control_Participant5"	"Control_Participant6"	"Control_Participant7"	"Control_Participant8"	"Control_Participant9"	"COVID19_Participant10"	"COVID19_Participant11"	"COVID19_Participant12"	"COVID19_Participant13"	"COVID19_Participant14"	"COVID19_Participant15"	"COVID19_Participant17"	"COVID19_Participant18"	"COVID19_Participant19"	"COVID19_Participant2"	"COVID19_Participant20"	"COVID19_Participant21"	"COVID19_Participant22"	"COVID19_Participant23"	"COVID19_Participant25"	"COVID19_Participant26"	"COVID19_Participant27"	"COVID19_Participant28"	"COVID19_Participant29"	"COVID19_Participant3"	"COVID19_Participant30"	"COVID19_Participant31"	"COVID19_Participant32"	"COVID19_Participant33"	"COVID19_Participant34"	"COVID19_Participant35"	"COVID19_Participant36"	"COVID19_Participant37"	"COVID19_Participant38"	"COVID19_Participant39"	"COVID19_Participant4"	"COVID19_Participant40"	"COVID19_Participant5"	"COVID19_Participant6"	"COVID19_Participant7"	"COVID19_Participant8"	"COVID19_Participant9"
"Control_Participant1"	0	15447.2777537015	26233.5678854402	9931.06353821181	10583.629859363	8636.10577749022	8597.8819484801	127194.552375485	46550.013329751	11531.6526569265	10528.0184745279	10890.233422659	8168.87011770906	8474.94949837461	62343.5783381095	8069.12498354066	15081.2681495954	10288.7436550825	15889.6981091524	7857.77137616004	10819.6474064546	11586.6919782999	33205.7192212426	8502.63476811747	59969.3251837971	26865.5303130238	64512.7764865224	22186.9037948065	11643.3404571025	122883.188284647	17857.4138945145	27792.5261176454	10002.542726727	8141.95375815903	14307.8885234684	23614.7496493188	39808.0884494596	9398.49642230075	94868.9257976499	11028.21241181	8451.29895341539	13150.645611528	12959.8471441603	71438.5840355196	10144.5523311776	62415.0893294242	10263.6577787843	10238.1071981104	18620.9642338951	10083.9434746532	6464.31860291555	105392.239467619	5406.51357160971	10197.205009217	9564.86455732647	19285.0830695644	19736.9231391319	9924.49555393119
"Control_Participant10"	15447.2777537015	0	15820.617560639	18916.1667099865	21853.8218854277	13523.1132140495	14812.8599534324	127520.24094237	41532.7645720821	17666.3524531806	21851.839808126	22286.5147566864	18532.0325113032	21616.1845615733	53262.7688352755	19065.4052146814	13872.2862931818	21915.3845049545	11086.0079379369	19970.9987982574	11982.172424064	23084.6075773447	21319.7652660624	16208.9747979322	47914.1031743264	16229.7777249105	56766.833468144	18974.8432404592	23049.9116050366	111643.312844971	11035.4258186986	25931.4746206227	19110.1473306723	13800.7813909213	12461.3094015035	17111.8688926721	31810.8962778479	19917.3460330437	90594.087069742	17320.8404819166	18641.2851488303	15196.2402586956	9265.73612833864	57929.0875381272	14721.4808358399	58458.7247209516	22068.9753500247	12441.1700012499	16106.0344902152	21963.2171596057	15913.5668220547	97950.2388358497	14753.0705617509	14564.2868002522	21493.4921313406	9782.92435828878	13647.4373052233	15281.7427671061
"Control_Participant11"	26233.5678854402	15820.617560639	0	28404.2524105106	31698.704500342	23631.9030338227	24549.6360054482	126072.931384973	43590.6115235838	24375.0714665619	31771.3311807988	32245.9875953583	27893.7083049207	31198.6555639822	53237.989687816	28581.9934224329	24095.4191289548	32042.4047786679	18496.4296014123	30146.7677703597	21018.5268751166	33007.9872000702	16690.0689932666	25708.767920692	38911.7956794595	13530.363224984	52015.1487741792	20804.4916304148	32911.3654077129	102773.415633616	15342.7035753155	25888.7247658126	28587.3007645003	24645.7079630511	19157.7953324489	21453.6667961447	27155.2415934751	29762.5337127067	84844.7619597109	25267.8941148644	28479.2306778115	23033.260602876	17292.3830630714	49514.660384577	23950.3613751442	58743.6285225896	32293.226302121	20471.7536864823	21195.9023162497	31944.9969791828	26786.3770039922	93778.1919424767	24701.3245596264	23762.7027082359	31723.8230987376	12585.1477941262	15456.8543695022	24481.6349944198
"Control_Participant12"	9931.06353821181	18916.1667099865	28404.2524105106	0	4027.78003371584	6906.62812087056	4868.63810526106	131012.920855158	54253.192495926	17483.2423194326	4104.93312978421	4590.42035112254	4998.6258111605	7710.91097082569	69033.4182914333	6813.72460552964	21599.5713383391	4635.93410220637	20985.6783783608	5028.74258637286	9566.13417217216	5193.55465938311	35707.934916486	3569.37319427375	63376.0420821622	29765.742423128	70368.9943867326	26942.6924972246	5055.56623930495	125648.502585586	20734.5943775132	33502.0075667116	990.12423462917	13416.8815303706	11951.3207219955	26754.8304423706	43707.1490376574	3717.87331683047	99758.9244679392	15624.3854279136	2737.86760088942	8608.32846724612	12811.5435838153	73635.6854113547	5400.62746354532	69829.9753472676	5113.62259068852	9952.06169595024	25734.0834303458	5096.92995831805	8294.0581140959	112977.757470221	7491.02329458399	5669.41152148969	5137.47126512645	23266.6409694223	24095.2093993806	4807.0696895302
"Control_Participant13"	10583.629859363	21853.8218854277	31698.704500342	4027.78003371584	0	9653.14984862454	8097.33023903558	131060.90088581	55435.3577060706	18206.3380722209	1181.06477383757	1359.17953192358	5613.2436255698	6089.63118751867	70956.1348510472	6979.89247768187	23015.3093831041	1478.28041994745	23173.5669891366	3703.84394919656	12794.3723957059	1740.94744320442	39090.6638981739	6608.10615834825	66719.3237225918	32888.5487670101	72315.4842962418	28494.5683069598	1647.63163358804	128881.021062063	23663.6847088529	34751.6951385109	3801.70461766824	14625.0137777713	15572.9947986892	29062.5422494317	46234.6137758282	3067.84973556398	101059.731668949	16371.9707427054	3885.74433024099	12124.472565848	16289.7795258254	77213.0544402953	9092.26093994228	70610.2835782438	2005.93968005023	12929.2383379687	27375.7105843848	2358.17747423725	9192.08224506287	114765.696011482	9174.68419075011	9350.52356822868	2562.64765428258	26362.86448776	26707.7838841039	8389.96466023546
"Control_Participant14"	8636.10577749022	13523.1132140495	23631.9030338227	6906.62812087056	9653.14984862454	0	3739.41720058086	127800.164964682	49676.3413105273	14638.2447035155	9885.23130735948	10364.1154470606	6875.69254693664	11040.3008111192	63425.5021343939	7828.01807611607	17334.2000680735	10115.6957743894	16078.2806605682	8874.70145976753	4702.38205593718	11110.2890151427	30548.2268879881	4732.79653059373	58249.8239482318	24555.4993433243	65463.2987482299	22868.4395401173	11047.709717403	120916.867433787	15975.6955404139	29891.7389758441	7057.36763956647	10895.9316260703	8201.92605428749	21918.66966766	38400.80982219	8213.76393622315	95713.4842276677	13608.9067893053	6668.99475183479	7069.28758786909	9007.46007484907	68264.347327137	4487.12658613505	64687.8351546873	10459.542054985	5856.31727282599	21136.7759130857	10509.1706142778	8044.26193009651	107574.819781397	6188.85304398157	4272.67117854861	9958.08781845189	18052.4577828062	19418.9411142832	4375.289818972
"Control_Participant15"	8597.8819484801	14812.8599534324	24549.6360054482	4868.63810526106	8097.33023903558	3739.41720058086	0	129745.63544875	50669.6349996721	15605.2510713542	8108.38929751156	8579.19471745455	6415.93243418289	9965.54840437795	64942.6941387559	7773.20268615196	18032.5318521832	8388.41117256421	17266.6605341044	7384.86838068222	5696.5050688997	9356.42672177793	31736.6672635928	3170.75700740375	59504.4914019102	25851.7251842116	66965.2053382949	24025.2976672507	9298.81739792755	122188.455334373	17158.875866443	30978.1983336669	5148.43306259293	11041.8872028291	8961.92970291555	23124.2701290225	40269.1241523826	6835.2936293915	97303.6703213193	14070.0391257452	5184.31229769195	6964.94149293445	9532.9940732175	69498.9639275292	3181.86454771412	66728.2330352003	8804.70107385821	6967.04521300099	22544.2934464578	8763.47978830327	7321.50305606711	109136.494015522	5877.1590926229	3055.65966691319	8354.80496480917	19093.7871308968	20717.8157873845	3581.74119668074
"Control_Participant16"	127194.552375485	127520.24094237	126072.931384973	131012.920855158	131060.90088581	127800.164964682	129745.63544875	0	126762.846382526	122252.483790719	131513.416809845	131801.323893199	127947.834928927	128615.848700695	130412.445962799	126739.116889775	127120.200617368	131541.933770186	125226.633828431	130166.399654442	128026.225797686	132030.423937061	127029.937325813	129783.975474632	127475.713628126	124771.165286696	120143.183035909	122406.841802246	131991.835842222	153220.75804864	125858.058323653	120295.501403835	130943.281419858	127909.002361054	128030.902746173	126256.858146399	114496.829929916	130473.974979687	124311.632424323	126273.438485693	129882.795773728	129414.552690182	128741.481892978	136121.809380422	130081.84104632	114288.553748833	131612.549147108	126617.844512533	119730.720523181	131556.963943381	129327.588692436	130693.855257238	127709.053731519	129944.231714994	131241.01026737	125825.364434203	123668.891387446	129695.810163629
"Control_Participant17"	46550.013329751	41532.7645720821	43590.6115235838	54253.192495926	55435.3577060706	49676.3413105273	50669.6349996721	126762.846382526	0	42278.9297168223	55307.2067275143	55562.814678524	52622.0391661137	53067.1020312962	30444.3977605076	52509.8369927007	34846.7507524016	54919.9271758439	38500.9266511859	52500.2039805561	48728.0374220017	56296.1482163745	42623.5317870305	51765.3184574383	53559.250162787	41571.0448028432	48734.4191614099	40331.443651325	56414.9026233317	111838.675716409	42408.8342447656	40423.3297119374	54375.9045901767	43711.4286886164	50542.8352489252	39540.0214719213	45283.2952312439	53944.7565570557	80783.658910698	44284.1664480658	52985.9236118424	53095.309086585	48480.9531981375	61067.2018681059	51617.0034291027	36237.2535521113	54876.8968145977	48923.9852832943	35900.5919171258	54764.3195611887	48005.8512475302	69314.089815852	48294.5684523633	51430.4565116819	53926.8080920798	39111.2813137079	40406.8887691196	52266.1088947704
"Control_Participant18"	11531.6526569265	17666.3524531806	24375.0714665619	17483.2423194326	18206.3380722209	14638.2447035155	15605.2510713542	122252.483790719	42278.9297168223	0	18205.1840419151	18607.5451094442	15113.0468800967	15368.9754375495	59478.3464043849	15307.5982113459	16299.0961712605	18095.4958207837	16096.6826706623	15872.3346738909	15521.501377122	19198.5514557739	31918.8197150208	15501.2688835463	57556.3239444633	25612.2539031613	60356.4010109947	19780.2809636264	19231.983309061	121045.83840017	17093.8646303286	23797.1670372757	17425.2767553345	13218.0208806008	17891.2365978431	23220.1267869062	36432.2558318861	16651.3702138893	87346.1814219717	10591.6078099597	16140.9687751386	18616.6372634802	17044.8536221347	69053.64607318	16577.2581267229	57476.8447376855	18037.0293562992	14300.9452834419	16315.5184410426	17692.6845051846	13518.4596755696	99110.9985067248	12558.0062908091	16499.3107431795	17327.6575162369	18698.0773877958	17164.6663818438	16391.9332294882
"Control_Participant19"	10528.0184745279	21851.839808126	31771.3311807988	4104.93312978421	1181.06477383757	9885.23130735948	8108.38929751156	131513.416809845	55307.2067275143	18205.1840419151	0	882.451698394875	6010.21180991153	6031.02793891721	70928.6467162599	7387.51426394562	22912.7769595918	1079.77266125791	23266.1164142192	3649.41365153363	12967.8543714834	1421.6145750519	39142.4086382021	6714.48337550999	66812.0571154638	33034.8545327507	72489.0628922736	28722.4140524434	1408.27838157092	129055.132249748	23689.6900781754	34867.1962595216	3898.7210723518	14589.1258134269	15735.8108466008	29133.8768446632	46414.6833986832	3180.73136243852	101114.285691983	16337.7003889776	4077.04709317908	12316.8394890897	16330.4446050927	77276.2936093599	9154.80360248105	70837.5892094021	1565.70623042766	13164.507282842	27439.9093292963	1889.28319740583	9020.72303088838	114725.521088379	9205.60090379764	9424.67850910576	2329.33316638046	26347.7670401118	26798.9370684734	8539.28550875306
"Control_Participant2"	10890.233422659	22286.5147566864	32245.9875953583	4590.42035112254	1359.17953192358	10364.1154470606	8579.19471745455	131801.323893199	55562.814678524	18607.5451094442	882.451698394875	0	6466.97742380472	6251.98360522482	71249.0980714844	7797.67644878909	23163.1651334614	914.082053209667	23684.9205191827	3910.62565326829	13497.0966507616	926.118242990602	39660.2210659497	7226.90929789492	67369.2108533268	33531.7278260456	72922.5449501044	29064.8321859941	994.943717001118	129599.706176364	24189.9993179	35237.290588239	4400.16556506684	14911.8012661113	16279.417864285	29524.7122424589	46959.2874307096	3522.16737251369	101546.397159131	16669.2283264703	4572.67645914294	12821.5624632882	16847.8891852956	77764.4806772346	9678.10890618617	71113.9792305282	1403.78666470372	13719.2178712928	27912.9767133497	1892.24364181783	9364.34509188977	115151.718259	9711.7599331944	9940.86545528104	2222.84817295289	26845.1542554704	27313.2711149727	9053.82780927493
"Control_Participant20"	8168.87011770906	18532.0325113032	27893.7083049207	4998.6258111605	5613.2436255698	6875.69254693664	6415.93243418289	127947.834928927	52622.0391661137	15113.0468800967	6010.21180991153	6466.97742380472	0	6127.42637654668	67832.9959311838	4112.10250358621	20565.8944857743	6169.15318337939	19597.2514144203	4966.08658804898	9851.07491596729	7006.10890580499	35496.4896856013	4854.91184265997	62575.1900196875	28955.693015364	68085.5522339358	24579.184506407	6902.3007758283	124797.665683297	19884.2835928278	30891.174257383	4763.66224663336	12234.8562721431	12476.2408200547	26002.7096280368	41576.5538615215	4598.72177892945	97546.7203395378	13873.6431408625	3681.41508118821	9955.83070366306	13154.0495285672	73581.8671548908	7094.11453248395	66986.0367614027	6422.57004632881	8663.74237844132	23082.5781488984	6397.29059837053	7473.34155515456	110761.550571487	6164.08971381825	7341.55930303638	6114.38606893611	22622.2959047043	22496.9157886142	6294.02152840297
