"Control_Participant1"	"Control_Participant10"	"Control_Participant11"	"Control_Participant12"	"Control_Participant13"	"Control_Participant14"	"Control_Participant15"	"Control_Participant16"	"Control_Participant17"	"Control_Participant18"	"Control_Participant19"	"Control_Participant2"	"Control_Participant20"	"Control_Participant21"	"Control_Participant3"	"Control_Participant4"	"Control_Participant5"	"Control_Participant6"	"Control_Participant7"	"Control_Participant8"	"Control_Participant9"	"COVID19_Participant10"	"COVID19_Participant11"	"COVID19_Participant12"	"COVID19_Participant13"	"COVID19_Participant14"	"COVID19_Participant15"	"COVID19_Participant17"	"COVID19_Participant18"	"COVID19_Participant19"	"COVID19_Participant2"	"COVID19_Participant20"	"COVID19_Participant21"	"COVID19_Participant22"	"COVID19_Participant23"	"COVID19_Participant25"	"COVID19_Participant26"	"COVID19_Participant27"	"COVID19_Participant28"	"COVID19_Participant29"	"COVID19_Participant3"	"COVID19_Participant30"	"COVID19_Participant31"	"COVID19_Participant32"	"COVID19_Participant33"	"COVID19_Participant34"	"COVID19_Participant35"	"COVID19_Participant36"	"COVID19_Participant37"	"COVID19_Participant38"	"COVID19_Participant39"	"COVID19_Participant4"	"COVID19_Participant40"	"COVID19_Participant5"	"COVID19_Participant6"	"COVID19_Participant7"	"COVID19_Participant8"	"COVID19_Participant9"
"Control_Participant1"	0	4601.69335465585	8437.4815285274	2579.80200809105	2531.44807716687	2913.32358663331	2819.88826157837	56407.7135463542	14619.439211781	4605.63243262483	2366.14634235743	2418.6611447196	3331.07575035425	2904.60781020343	19075.5476500031	3322.92640513241	6654.67886258478	2412.82299799437	4628.26913769275	2578.05336456706	3278.47636377612	2419.2934946049	5148.70084211646	2741.64044132138	8694.25111721207	4701.34144463014	14530.3245057789	8665.76953244825	2441.03817702705	35605.8623233578	4430.14344695321	12086.5517346565	2543.524203473	4946.80604465504	3429.73321778182	7537.90568281542	6920.04453175966	2923.7393892549	28428.0494239691	6048.36633887938	2468.70523634528	2658.45346296042	3675.2428657472	9927.65246089298	2525.08462459014	14846.5052318154	2208.60389149445	3348.7949176212	6269.2845288876	2213.19315068933	3344.53092242366	19122.879756617	2818.40353420323	2702.55266106838	2544.59140722881	3215.06910933831	5364.01645002869	2671.61786925014
"Control_Participant10"	4601.69335465585	0	9021.46480233978	5334.48223291991	5591.78741449112	5177.48469975591	4865.43703553207	58512.7940638063	13966.867884784	7452.82315684602	5316.75595780783	5316.9979597179	6522.61325275476	6202.42437320346	17547.1570112991	6708.77690737308	6894.24693144529	5286.6839746261	5921.60392754586	5427.4068145676	5361.11154548277	5397.50661554354	6321.57610684763	5478.1773972031	9812.46751047426	6526.5136390407	15274.9607857503	10154.5237006239	5441.49628146502	36114.8989315748	6318.76325993932	13641.4730474483	5472.48446921076	6273.70067423822	6172.9270619779	8049.51590607056	9140.10582184071	5496.55792920324	29624.9278146269	7962.06463123706	5499.09469675633	5747.48337152099	4479.58119395564	9354.47286589299	5079.73869000071	16132.8576947464	5072.89202749502	6339.49828052628	7489.82197868074	5077.70486599104	5152.53904482228	19667.4126551973	5534.83259182603	5230.25761040339	5399.49462916639	5374.88572104133	7468.92523688731	5360.72212603138
"Control_Participant11"	8437.4815285274	9021.46480233978	0	7628.84946188118	8112.47049392151	8329.77380190692	7691.39537004874	58057.7923176382	17447.9480399826	8435.30926835289	8082.67029890475	7879.43090131271	8473.68421965222	7848.99243987559	22336.1106650868	8775.75710149803	11137.2810650916	8117.04194223519	9322.90794422065	8058.1325013727	8471.88174160129	8050.0357796344	9185.81434588547	7960.12043749996	11196.8211433215	8444.72500013171	15866.6394873988	9679.05407171871	8024.00363193232	36561.7621412088	8546.15216003153	12835.8378072687	7960.90127972505	9459.36532581369	8309.96115579069	11175.386484413	10348.2940451267	7924.09077896626	28055.470392196	8995.68690729691	8137.5591134967	8145.85739022709	7072.47729279296	9938.73979504212	8118.92317241133	18367.2055601593	8141.13684357236	8255.23865287436	11146.0291308669	7686.34442297083	8994.74816743077	21838.4461395712	8449.55245068159	8109.36955509978	8095.17127262972	8320.15568221854	9199.04513582023	7925.83900636082
"Control_Participant12"	2579.80200809105	5334.48223291991	7628.84946188118	0	1010.80972951254	2074.22153352063	1736.88717552762	56057.5246095858	14934.3358829362	3888.2996949603	1017.34029382633	873.811577829329	2597.06193307364	2255.40922749368	19711.8585772014	2811.87236151473	6894.17306866755	1044.30210529012	4239.1843610916	1462.82656615745	2143.14003150606	919.044757149938	4402.496872302	1199.66789419964	8594.88591973931	3665.85465571857	13969.4735757619	7798.61146791355	904.82093631542	35465.4788082559	3335.14590628431	11436.6359816856	933.451633600905	4382.40047765922	1956.43504919223	6997.32969897006	6069.24063630314	1590.37266756543	27648.3664466785	5181.53416238149	1112.36403571132	1256.3654554067	3645.22076527447	9481.78939714191	1297.4308905396	15047.5797869876	1186.97218081189	2391.942438626	6893.28876970506	1148.76199284157	3283.06766873148	19341.8041734191	3086.01652155975	1322.72215197201	1294.11470993984	3132.90179841346	5337.86530144988	1173.53790160553
"Control_Participant13"	2531.44807716687	5591.78741449112	8112.47049392151	1010.80972951254	0	2007.11647907774	2042.69711992183	55699.2727295398	15055.9160170272	3698.53834977203	805.409520123628	794.266103224844	2315.04130057668	2138.24712427401	19825.0604228128	2487.71641765087	6985.69876227751	864.582222300537	4256.34449643641	1316.35871588004	2183.72736400641	641.484232163078	4438.36704942964	1115.40568858959	8674.65252681917	3672.58380384228	13988.2874992026	7787.21178068879	598.50429077988	35453.5563763716	3337.71995578261	11397.4207298619	738.07897574456	4342.67715865108	1779.77422367995	7102.00509538295	5941.07374967128	1525.97896223345	27623.7139033079	5222.98036281121	841.645962578319	915.997537928928	4000.29065653828	9861.82337886026	1354.53549107355	14849.229934604	1009.99461310723	2254.83460601931	6767.13845016976	1183.89746899615	3262.86595435223	19336.6692773094	2978.10320458144	1452.22034855239	1181.53745406304	3281.41232935782	5376.42942998662	1230.80904377805
"Control_Participant14"	2913.32358663331	5177.48469975591	8329.77380190692	2074.22153352063	2007.11647907774	0	2286.51074583449	55712.6579044065	14861.0534255175	4237.06159991074	2149.78856092601	2087.44621751023	3272.47547855361	3194.02782784419	18971.6969440312	3187.61967415287	6708.6767537693	2117.70931664193	4597.98598629589	2490.77009858572	2313.82961878226	2109.63709354341	4819.72377548878	2347.83841523983	9581.04745384119	4486.25751674993	14631.448247589	8666.20548299612	2148.28347652077	36093.1220466304	4024.3905712053	12170.1954375164	2246.0479292851	4894.38263982771	2895.4350953229	6886.32445786128	6121.67569798939	2725.80423424344	28132.428802319	5927.30465539439	2150.71450483239	2199.70558389875	4389.51166987975	9609.48840725117	2312.45811000465	14507.2080798603	2196.56323426852	3063.12400553326	7361.87740171143	2340.04679894133	3999.26713994581	19201.8503425437	3788.79005955481	2245.5314949706	2346.97532221818	3729.46347300333	6105.27423289055	2182.63899123923
"Control_Participant15"	2819.88826157837	4865.43703553207	7691.39537004874	1736.88717552762	2042.69711992183	2286.51074583449	0	56605.1789367324	14203.3009508279	4422.09433729689	1800.45743010022	1753.22769934034	3480.82648292728	3089.92611445774	18999.3874635882	3612.37241216603	6166.19798807323	1779.74111000538	4105.94880269002	2094.4637176985	1988.25640991398	1862.24622304882	4291.00325753461	2005.83319843383	8960.12260447305	4030.58956097746	14277.1983007461	8362.80840901914	1932.79848669127	35823.0927353882	3766.47217979128	12017.9012400934	2004.51881291298	4388.84327568516	2901.50081185232	6570.19758434051	6526.36422525834	2485.58893111891	28270.7711660289	5772.29703226517	1962.46683319248	2321.41218901186	3901.20492605598	8850.94225203943	1745.05339163945	15096.4694643436	1932.48033997565	3130.46938275344	6978.45381162495	1921.96224284222	3355.28146330601	18910.1502546089	3391.35455653229	1679.74943751468	2029.91586013047	2986.05398100597	5791.40945511948	2239.41640764524
"Control_Participant16"	56407.7135463542	58512.7940638063	58057.7923176382	56057.5246095858	55699.2727295398	55712.6579044065	56605.1789367324	0	65540.0412692798	55142.678046164	56122.4733361007	56140.2529564147	55036.820374637	55424.6077936658	67824.0022654558	54652.7567798083	59618.244396442	56224.5298615587	58078.1601919672	56302.8989539029	56462.4227312781	56031.8272933205	58117.7603585409	56282.9462382115	58771.2789919444	57332.5413332387	60685.1184402192	57769.5300534728	55971.1961231359	66530.1887353016	56890.8714528651	57888.6048119727	56007.0037135185	57918.0712360777	55638.477999046	59006.687125785	54648.4054576542	56133.6491329308	61834.696368267	57236.2855880181	55998.103395401	55404.3161073958	57076.3600669574	61151.9309651909	56426.3562948931	57644.876406104	56271.4190240088	55438.2750896464	56580.4811585441	56283.3224877538	57178.2514383685	64506.1261192428	56221.830247274	56430.7979529182	56305.8804212062	57523.8918947032	56770.3141306797	56053.3066282562
"Control_Participant17"	14619.439211781	13966.867884784	17447.9480399826	14934.3358829362	15055.9160170272	14861.0534255175	14203.3009508279	65540.0412692798	0	15324.7817885128	14636.6560512172	14643.6731025679	16296.0267363662	15545.0321257224	14158.0064039699	16284.4506347412	10783.5317208677	14516.0717308567	13272.9248027161	14605.5608421692	14409.5260106609	14754.8283464789	13658.0503915223	14772.5553941148	18315.3660148372	15106.5845238731	21101.7760800603	18810.875647452	14859.424369623	42655.6625752026	14797.0332842654	21546.424714308	15010.5794202661	13675.3067664385	15585.489794347	13133.2057437355	17256.9248087658	15252.3924511823	35574.9130298193	15901.2074722332	14800.772999762	15390.2605822062	15536.6708045564	13306.0524813375	14528.6759445604	18953.2014349055	14549.7114041239	16003.0798330989	16057.4368663174	14626.1854546285	13943.9951026724	16040.9722810026	14987.8937030617	14501.5324315142	14465.2181246245	13321.7401708502	16523.2537910355	15146.1714046536
"Control_Participant18"	4605.63243262483	7452.82315684602	8435.30926835289	3888.2996949603	3698.53834977203	4237.06159991074	4422.09433729689	55142.678046164	15324.7817885128	0	3862.31582942205	3858.2376842796	4424.19734817083	3774.11685246045	20638.0775917038	4353.77308054535	8233.91136900836	3919.15809770336	6153.48549392349	4011.08587699757	4563.817631724	3827.91883187507	6174.04885060059	4017.47773921621	10381.5293335029	5549.94990960308	15110.004724917	8877.21910581917	3811.94067388267	36800.4512347953	5155.01487838153	12018.3354395116	3898.90493274178	6202.81152130581	4267.81397599745	8524.18298668081	6750.55344448972	4207.59360110673	27369.5510655876	5891.57216654491	3894.40027681635	3797.68169793165	5825.14069470702	10680.9551091818	4286.32796202528	14960.0186373248	3982.9172784304	4268.67205147616	8289.64642926148	3813.89439071655	5522.20092243555	18594.993243657	4699.45043772283	4234.9616745444	4004.07595176354	4934.79470172948	6452.0951353069	3935.33944977551
