feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
SPRR2E	age	50-59	-5.60744901415491	1.31133379503505	8.34584029421046e-05	0.441964931590303	CPLM	1.616	58	9	84
SPRR2E	age	60-69	-4.16293161226023	0.913500554469416	3.26544535057353e-05	0.441964931590303	CPLM	1.616	58	9	84
TMEM63A	age	80-89	3.6419004183362	0.85760897179049	9.19993612802462e-05	0.441964931590303	CPLM	1.076	58	27	53
HMOX1	age	40-49	2.48563454290741	0.611736803489703	0.00016731004345496	0.602818086568222	CPLM	1.36	58	16	72
PLAC4	age	80-89	3.91894430198201	1.00492297736574	0.000282535416701812	0.678650070917752	CPLM	1.01	58	8	86
TNFSF10	age	40-49	2.15666293304556	0.550386877414874	0.00026622430108917	0.678650070917752	CPLM	1.426	58	39	33
CXCL8	age	60-69	-3.18375073478328	0.840603113477384	0.000402672790283955	0.821976324239156	CPLM	1.654	58	12	79
IDI1	age	70-79	2.38899799029404	0.648868868908133	0.000559599514994906	0.821976324239156	CPLM	1.411	58	40	31
SERPINH1	age	60-69	-2.55771083130889	0.695854527350352	0.000570341607160114	0.821976324239156	CPLM	1.309	58	11	81
KAT6B	age	80-89	3.00052097223063	0.804759069482564	0.000484137735098323	0.821976324239156	CPLM	1.01	58	29	50
KRT24	age	50-59	-5.04766857726465	1.43235144389808	0.000907055465164036	0.972050179708059	CPLM	1.677	58	17	71
PI3	age	50-59	-3.16481395424405	0.943078713479545	0.00150059847225835	0.972050179708059	CPLM	1.604	58	21	64
DUSP2	age	60-69	-3.5271361922194	0.986074167922304	0.000772289879513116	0.972050179708059	CPLM	1.416	58	7	88
ISG15	age	40-49	1.94661810472064	0.590335126267559	0.00178167637315108	0.972050179708059	CPLM	1.335	58	28	52
AKR1B1	age	60-69	-2.15625824517512	0.626538493967168	0.0011628831429331	0.972050179708059	CPLM	1.379	58	23	60
IER5	age	60-69	-1.75136577079167	0.501044520122752	0.000989010786299807	0.972050179708059	CPLM	1.228	58	31	47
KRT6C	age	60-69	-3.6624380477479	1.10640707732244	0.0017164116290438	0.972050179708059	CPLM	1.374	58	6	90
DSC2	age	70-79	2.11714569036999	0.634793267152491	0.00159492361741299	0.972050179708059	CPLM	1.394	58	6	90
IL6R	age	80-89	4.64620311163235	1.3605559595995	0.00125912071827976	0.972050179708059	CPLM	1.126	58	17	71
PPDPF	age	70-79	1.11920413686865	0.340182868400869	0.00182107652318329	0.972050179708059	CPLM	1.176	58	46	21
RNF168	age	60-69	-1.57710152296291	0.465601366025088	0.0013672851065096	0.972050179708059	CPLM	1.01	58	18	69
CDYL	age	40-49	2.38345783442159	0.688863622759413	0.00110033483466951	0.972050179708059	CPLM	1.303	58	34	41
NFKBIE	age	40-49	2.59795584036219	0.731658881189833	0.00083637754202854	0.972050179708059	CPLM	1.01	58	17	71
SERINC2	age	70-79	1.88912908788339	0.566735786822693	0.00160351116618493	0.972050179708059	CPLM	1.156	58	31	47
VIMAS1	age	80-89	3.22249271217094	0.95125661656772	0.0013657389007038	0.972050179708059	CPLM	1.01	58	17	71
RAB31	age	60-69	-1.23764993886238	0.375962596592648	0.00181075664815318	0.972050179708059	CPLM	1.234	58	33	43
TRIM25	age	40-49	1.80827140978164	0.522126303492403	0.00108949167084669	0.972050179708059	CPLM	1.167	58	30	48
KRT13	age	30-39	-0.167261037286761	1.70839810629839	0.922391357348396	0.999986744539176	CPLM	1.681	58	14	76
KRT13	age	40-49	1.27620234907126	1.69183245188937	0.454119309652473	0.999986744539176	CPLM	1.681	58	14	76
KRT13	age	50-59	0.0445106925051025	1.51529793503725	0.976680783863078	0.999986744539176	CPLM	1.681	58	14	76
KRT13	age	60-69	0.605966090928368	1.39510783048075	0.665865972430609	0.999986744539176	CPLM	1.681	58	14	76
KRT13	age	70-79	2.27273704805061	1.55628780455261	0.150325116405846	0.999986744539176	CPLM	1.681	58	14	76
KRT13	age	80-89	-27.39700177984	280.711331986589	0.922633687902239	0.999986744539176	CPLM	1.681	58	14	76
MAL	age	30-39	-0.789235078741173	1.20371936943347	0.514987570202784	0.999986744539176	CPLM	1.6	58	15	74
MAL	age	40-49	0.216964652315257	1.20868688418499	0.858252925766404	0.999986744539176	CPLM	1.6	58	15	74
MAL	age	50-59	0.440733215722208	0.975351456004859	0.653277774138136	0.999986744539176	CPLM	1.6	58	15	74
MAL	age	60-69	-0.00817114260117505	0.940898396680207	0.99310481697369	0.999986744539176	CPLM	1.6	58	15	74
MAL	age	70-79	-0.0583222466507256	1.21694977747439	0.961963248961104	0.999986744539176	CPLM	1.6	58	15	74
MAL	age	80-89	-28.0464212477405	664.222868762873	0.966484680160523	0.999986744539176	CPLM	1.6	58	15	74
S100A8	age	30-39	-0.765583721537394	1.03536021739798	0.463031689602366	0.999986744539176	CPLM	1.67	58	21	64
S100A8	age	40-49	0.150835232409402	1.06967345680558	0.888417120789378	0.999986744539176	CPLM	1.67	58	21	64
S100A8	age	50-59	-3.08160643575533	1.11431528223311	0.00789443152133369	0.999986744539176	CPLM	1.67	58	21	64
S100A8	age	60-69	-0.902080580323131	0.860158585618684	0.29924354870717	0.999986744539176	CPLM	1.67	58	21	64
S100A8	age	70-79	0.143097938592595	1.04869272845248	0.891999900667071	0.999986744539176	CPLM	1.67	58	21	64
S100A8	age	80-89	-2.1881442862375	3.53085511156501	0.538200680036301	0.999986744539176	CPLM	1.67	58	21	64
SPRR3	age	30-39	-0.743377889211436	0.991865166145774	0.45701441658107	0.999986744539176	CPLM	1.688	58	26	55
SPRR3	age	40-49	0.0838397161658939	1.03721037619697	0.935891992794121	0.999986744539176	CPLM	1.688	58	26	55
SPRR3	age	50-59	-1.6940369459339	0.939289057408225	0.0772132713630967	0.999986744539176	CPLM	1.688	58	26	55
SPRR3	age	60-69	-0.98797485714545	0.82988436352688	0.239363054952259	0.999986744539176	CPLM	1.688	58	26	55
SPRR3	age	70-79	-0.404453140858698	1.06222055871873	0.704961373988567	0.999986744539176	CPLM	1.688	58	26	55
SPRR3	age	80-89	-29.9945459487903	210.738104527977	0.88737944068197	0.999986744539176	CPLM	1.688	58	26	55
EMP1	age	30-39	-0.855965163722549	1.03364132969524	0.411468690227963	0.999986744539176	CPLM	1.66	58	22	62
EMP1	age	40-49	-0.0100806271867904	1.07285279207192	0.992539770200894	0.999986744539176	CPLM	1.66	58	22	62
EMP1	age	50-59	-1.24671914674364	0.942909196539098	0.191999446631006	0.999986744539176	CPLM	1.66	58	22	62
EMP1	age	60-69	-1.34002399883249	0.873481196885735	0.131181192203655	0.999986744539176	CPLM	1.66	58	22	62
EMP1	age	70-79	-0.0994189385329043	1.05902362549314	0.925573982490977	0.999986744539176	CPLM	1.66	58	22	62
EMP1	age	80-89	-29.3246608580295	299.064929000169	0.922273387870218	0.999986744539176	CPLM	1.66	58	22	62
S100A9	age	30-39	0.198796260630728	0.99910592860212	0.843074093837263	0.999986744539176	CPLM	1.644	58	23	60
S100A9	age	40-49	0.729949662272124	1.05656187866618	0.492778270834028	0.999986744539176	CPLM	1.644	58	23	60
S100A9	age	50-59	-1.89008048542795	1.06220270513742	0.0811339095237364	0.999986744539176	CPLM	1.644	58	23	60
S100A9	age	60-69	-0.0760896193905134	0.863788580954835	0.930151526765481	0.999986744539176	CPLM	1.644	58	23	60
S100A9	age	70-79	0.683447678248706	1.04012525390563	0.514082617881591	0.999986744539176	CPLM	1.644	58	23	60
S100A9	age	80-89	-29.3013620740412	402.01343576987	0.942181525255205	0.999986744539176	CPLM	1.644	58	23	60
SPRR2A	age	30-39	-1.30365162845955	1.26719688016456	0.308443249454277	0.999986744539176	CPLM	1.596	58	13	78
SPRR2A	age	40-49	-0.344231632541923	1.2788659085338	0.788885290783763	0.999986744539176	CPLM	1.596	58	13	78
SPRR2A	age	50-59	-1.75805725106564	1.1662018874757	0.137850763340494	0.999986744539176	CPLM	1.596	58	13	78
SPRR2A	age	60-69	-1.30401040138214	1.01460433516979	0.204514405803811	0.999986744539176	CPLM	1.596	58	13	78
SPRR2A	age	70-79	-1.77635646124748	1.50697811592072	0.24396651567345	0.999986744539176	CPLM	1.596	58	13	78
SPRR2A	age	80-89	-29.1744745900206	866.960430454211	0.973286456307492	0.999986744539176	CPLM	1.596	58	13	78
CXCL8	age	30-39	-2.02742080169176	0.974386356583955	0.0425011184130789	0.999986744539176	CPLM	1.654	58	12	79
CXCL8	age	40-49	-3.5726968447545	1.38833472749471	0.0130221364585397	0.999986744539176	CPLM	1.654	58	12	79
CXCL8	age	50-59	-28.306486363329	48.2995926303675	0.560419713860378	0.999986744539176	CPLM	1.654	58	12	79
CXCL8	age	70-79	1.74339778553558	0.75601141614946	0.0252079254667402	0.999986744539176	CPLM	1.654	58	12	79
CXCL8	age	80-89	-27.7743529100324	207.22588601084	0.893906875098718	0.999986744539176	CPLM	1.654	58	12	79
KRT6A	age	30-39	-1.38322799996094	1.05154582671226	0.1942509544088	0.999986744539176	CPLM	1.587	58	14	76
KRT6A	age	40-49	-1.98779244271482	1.32324019497792	0.139208321406751	0.999986744539176	CPLM	1.587	58	14	76
KRT6A	age	50-59	-2.98329271784733	1.1172237536814	0.0101431025928945	0.999986744539176	CPLM	1.587	58	14	76
KRT6A	age	60-69	-2.28242181835712	0.90912962262183	0.0152669814077024	0.999986744539176	CPLM	1.587	58	14	76
KRT6A	age	70-79	-1.68420048411581	1.22314059273193	0.174542837526706	0.999986744539176	CPLM	1.587	58	14	76
KRT6A	age	80-89	-29.393263133645	861.557764285459	0.972917496205511	0.999986744539176	CPLM	1.587	58	14	76
RPTN	age	30-39	-3.31052915445003	1.9910033394372	0.102498317481811	0.999986744539176	CPLM	1.636	58	8	86
RPTN	age	40-49	-4.04870275350428	2.62856902774284	0.129677134972359	0.999986744539176	CPLM	1.636	58	8	86
RPTN	age	50-59	-1.17779427474615	1.3519991223753	0.387754568981157	0.999986744539176	CPLM	1.636	58	8	86
RPTN	age	60-69	-0.130876576616752	1.1698088936609	0.911358845853178	0.999986744539176	CPLM	1.636	58	8	86
RPTN	age	70-79	2.56527565677635	1.21743292828498	0.0400450596741625	0.999986744539176	CPLM	1.636	58	8	86
RPTN	age	80-89	-27.1707431577874	412.117350253244	0.947691624861885	0.999986744539176	CPLM	1.636	58	8	86
SERPINB3	age	30-39	0.00403706636800379	0.998144709832435	0.996788688194955	0.999986744539176	CPLM	1.51	58	19	67
SERPINB3	age	40-49	-2.09937744201829	1.58772268276644	0.191982218940551	0.999986744539176	CPLM	1.51	58	19	67
SERPINB3	age	50-59	-0.307234131543446	0.93559946835213	0.743967276325908	0.999986744539176	CPLM	1.51	58	19	67
SERPINB3	age	60-69	0.572748269444836	0.817841190235572	0.486911863129929	0.999986744539176	CPLM	1.51	58	19	67
SERPINB3	age	70-79	1.03627105751214	0.95503954613413	0.282999585648359	0.999986744539176	CPLM	1.51	58	19	67
SERPINB3	age	80-89	-27.2090840534522	1794.06433800951	0.987958787048387	0.999986744539176	CPLM	1.51	58	19	67
KRT24	age	30-39	-1.45671329239376	1.1530899413472	0.212221625811072	0.999986744539176	CPLM	1.677	58	17	71
KRT24	age	40-49	-5.22153968335429	2.13943356664256	0.0181747715974964	0.999986744539176	CPLM	1.677	58	17	71
KRT24	age	60-69	-0.493867470960993	0.881583943615011	0.577792445409457	0.999986744539176	CPLM	1.677	58	17	71
KRT24	age	70-79	0.505016104627206	1.06517117684991	0.637439889668719	0.999986744539176	CPLM	1.677	58	17	71
KRT24	age	80-89	-28.9930345018335	231.276909072475	0.900730866612485	0.999986744539176	CPLM	1.677	58	17	71
MUC5AC	age	30-39	24.7151067115122	122.664512254997	0.841120544134363	0.999986744539176	CPLM	1.649	58	13	78
MUC5AC	age	40-49	0.824073883929093	174.600648988377	0.996252600826988	0.999986744539176	CPLM	1.649	58	13	78
MUC5AC	age	50-59	28.8285711138496	122.652923184836	0.81511743374382	0.999986744539176	CPLM	1.649	58	13	78
MUC5AC	age	60-69	30.2891482613849	122.651749616268	0.805936437504009	0.999986744539176	CPLM	1.649	58	13	78
MUC5AC	age	70-79	28.7146345856262	122.655666835314	0.815838643315652	0.999986744539176	CPLM	1.649	58	13	78
MUC5AC	age	80-89	1.96675383945742	327.606266878194	0.995233424798662	0.999986744539176	CPLM	1.649	58	13	78
SPRR1B	age	30-39	-1.92444807662962	1.33709474874917	0.156182197277199	0.999986744539176	CPLM	1.588	58	12	79
SPRR1B	age	40-49	-1.08347352783113	1.36900433518964	0.432357587761689	0.999986744539176	CPLM	1.588	58	12	79
SPRR1B	age	50-59	-2.07234616088133	1.17731179660421	0.0843640540678882	0.999986744539176	CPLM	1.588	58	12	79
SPRR1B	age	60-69	-1.46905918619667	0.998823145445435	0.147491264100815	0.999986744539176	CPLM	1.588	58	12	79
SPRR1B	age	70-79	-2.29783902841729	1.58988488713898	0.154494414402912	0.999986744539176	CPLM	1.588	58	12	79
SPRR1B	age	80-89	-28.9615605658288	917.352749453878	0.974937560464359	0.999986744539176	CPLM	1.588	58	12	79
