feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
TMSB10	groups	respiratory failure	1.30771972147222	0.0291180285826087	0	0	CPLM	1.371	13124	10759	18
IFI27	groups	COVID-19	1.38074756416403	0.0351210677865365	1.1300269451681e-319	2.14931124970972e-316	CPLM	1.448	13124	9467	28
TACSTD2	groups	respiratory failure	1.06002419300361	0.0277826277421264	3.72698367573523e-302	4.72581530083228e-299	CPLM	1.425	13124	9886	25
PRDX5	groups	respiratory failure	-1.0444123650291	0.0281583590735569	1.85089868872635e-286	1.76020465297876e-283	CPLM	1.42	13124	10036	24
PPL	groups	respiratory failure	1.49829070217329	0.0412889137623036	7.51532015567232e-275	5.7176555744355e-272	CPLM	1.441	13124	7364	44
EPS8L1	groups	respiratory failure	1.80340497429968	0.0509055295414	1.26811295252237e-262	8.03983611899186e-260	CPLM	1.375	13124	5127	61
ANXA11	groups	respiratory failure	0.845476607690393	0.0241888792863552	5.23895599810411e-256	2.84699837382686e-253	CPLM	1.225	13124	8665	34
CEACAM6	groups	respiratory failure	2.39241600395325	0.0692859012023106	3.7617190320624e-250	1.78869739974567e-247	CPLM	1.514	13124	3823	71
PPDPF	groups	respiratory failure	1.20122741534708	0.03492636961875	2.81904069212983e-248	1.19151453254021e-245	CPLM	1.15	13124	6894	47
ITGB8	groups	respiratory failure	1.40521261548018	0.0414013546657729	4.1040069280503e-242	1.56116423543033e-239	CPLM	1.405	13124	7319	44
IFI6	groups	COVID-19	2.67023463172798	0.0792661919054588	1.12515727379945e-238	3.89099842684828e-236	CPLM	1.418	13124	5726	56
KRT23	groups	respiratory failure	1.90365257898648	0.0565362467322645	1.82366778619993e-238	5.78102688225376e-236	CPLM	1.467	13124	5173	61
GCLC	groups	respiratory failure	-1.35677621565033	0.0406199327512515	7.60633451227584e-235	2.22573049882287e-232	CPLM	1.233	13124	6666	49
HIST1H2AC	groups	respiratory failure	1.9890851029909	0.0597643456591713	3.01397878072045e-233	8.18941091561471e-231	CPLM	1.325	13124	4014	69
GSTA1	groups	respiratory failure	-1.34797773002407	0.0407041368075083	4.83628528931393e-231	1.22648194937001e-228	CPLM	1.413	13124	7127	46
PRDX5	groups	COVID-19	-0.695634905810405	0.0211867330749755	2.69221967744175e-227	6.40075228311776e-225	CPLM	1.42	13124	10036	24
TTC9	groups	respiratory failure	1.1791496764019	0.0362245707306695	1.38437982378336e-223	3.09775344098347e-221	CPLM	1.226	13124	5852	55
C1orf116	groups	respiratory failure	1.68861640560842	0.0520228689897848	2.2086775543183e-222	4.66767189812601e-220	CPLM	1.22	13124	3992	70
LCN2	groups	respiratory failure	2.02059013312583	0.0623375160484117	8.64698210446468e-222	1.73121683817809e-219	CPLM	1.578	13124	5795	56
RAB11FIP1	groups	respiratory failure	1.06290078985521	0.032846354023115	4.36433344341388e-221	8.3009622093732e-219	CPLM	1.38	13124	8842	33
FUT3	groups	respiratory failure	1.91823054060144	0.0595145906305663	2.04783238624022e-219	3.70950209393228e-217	CPLM	1.246	13124	3270	75
TP53INP2	groups	respiratory failure	2.11716116469783	0.0657448389518228	4.80898271873129e-219	8.31516830093355e-217	CPLM	1.373	13124	3089	76
KRT19	groups	respiratory failure	1.14418669328351	0.0357173633685739	7.2398902942215e-217	1.19741489909646e-214	CPLM	1.537	13124	9895	25
HLA-A	groups	long COVID-19	1.08175148801784	0.0338951727167707	2.54209892600823e-215	4.02922679772304e-213	CPLM	1.406	13124	11124	15
DNAH5	groups	COVID-19	-1.00363552760854	0.0315038546702917	1.37844487615233e-214	2.09744172355338e-212	CPLM	1.44	13124	6276	52
MT-ND2	groups	respiratory failure	-0.735527541512552	0.0234593785622603	3.78604312084845e-208	5.5392723198875e-206	CPLM	1.575	13124	12557	4
TPM4	groups	respiratory failure	1.48581314638297	0.0475008569852328	3.23299601053744e-207	4.5549321570683e-205	CPLM	1.393	13124	6076	54
TMBIM1	groups	respiratory failure	1.69817733249796	0.0543421600552984	7.74433629550898e-207	1.05212340243272e-204	CPLM	1.284	13124	4035	69
PROM1	groups	COVID-19	-0.942501825238533	0.0305505281794383	8.09033434588849e-202	1.06122868454344e-199	CPLM	1.316	13124	5977	54
NUCB2	groups	respiratory failure	-1.09924920454133	0.0362129718474295	1.15036567369746e-195	1.45866367424838e-193	CPLM	1.362	13124	8178	38
GPRC5A	groups	respiratory failure	2.09525520700839	0.0694028813575306	1.24553046878951e-193	1.52838642041139e-191	CPLM	1.435	13124	3565	73
FAM83A	groups	respiratory failure	3.43678877284925	0.114382831248691	7.1017255856093e-192	8.44217628989305e-190	CPLM	1.367	13124	1807	86
PDLIM5	groups	respiratory failure	1.05737274525696	0.0352800231569738	5.9322398623346e-191	6.83825467767297e-189	CPLM	1.119	13124	5849	55
GCNT3	groups	respiratory failure	2.46517967726721	0.0824800707739969	6.02996087573607e-190	6.74646210920589e-188	CPLM	1.342	13124	2429	81
IFITM3	groups	COVID-19	1.71299019352613	0.0577738128116167	4.66464738756456e-187	5.06980533208445e-185	CPLM	1.253	13124	5381	59
SPINT1	groups	respiratory failure	1.5243202897718	0.0518918765607015	9.50621946895284e-184	1.00449052388602e-181	CPLM	1.325	13124	4105	69
RARRES3	groups	respiratory failure	1.25505950687654	0.0428892540728737	2.08727437051522e-182	2.14594370417295e-180	CPLM	1.339	13124	6388	51
KIF21A	groups	respiratory failure	-0.996686943579936	0.0344181154513817	8.72909104032508e-179	8.73827955720963e-177	CPLM	1.346	13124	8165	38
IGFBP7	groups	COVID-19	-0.983496921449518	0.0339960903275519	1.89728679168191e-178	1.85058434757897e-176	CPLM	1.396	13124	5574	58
ANXA11	groups	long COVID-19	0.85090735225017	0.029536489416872	5.08832407012279e-177	4.83899619068678e-175	CPLM	1.225	13124	8665	34
RRAD	groups	respiratory failure	-1.40755463452437	0.0491834885142681	8.73737213918035e-175	8.10657649205904e-173	CPLM	1.404	13124	5874	55
SLC16A3	groups	respiratory failure	1.61200204038353	0.0563868241035032	1.97021177645791e-174	1.78444895182045e-172	CPLM	1.117	13124	4076	69
HLA-A	groups	COVID-19	0.727214352309988	0.0254404264521454	2.15251176933195e-174	1.90422203966017e-172	CPLM	1.406	13124	11124	15
PROM1	groups	respiratory failure	-1.14901882683937	0.0402192556517324	3.32262604037362e-174	2.87256124035937e-172	CPLM	1.316	13124	5977	54
SNX18	groups	respiratory failure	1.57457151625221	0.0553577558429066	9.64298941940041e-173	8.15154038919981e-171	CPLM	1.124	13124	3002	77
S100P	groups	respiratory failure	1.71562045249247	0.0603270718357067	1.09998063159109e-172	9.0963615708098e-171	CPLM	1.588	13124	6840	48
EMP1	groups	respiratory failure	2.49857044737792	0.0880208700951093	4.49592758107893e-172	3.63883159966473e-170	CPLM	1.601	13124	3113	76
KRT13	groups	respiratory failure	3.63212819603588	0.127969048851803	4.90459390897996e-172	3.88689067286662e-170	CPLM	1.593	13124	2058	84
SCEL	groups	respiratory failure	2.3140708393108	0.0818178539310685	7.04165467981859e-171	5.46662334735304e-169	CPLM	1.501	13124	2776	79
NECTIN4	groups	respiratory failure	1.35998999581597	0.0481128570697744	1.09475177051553e-170	8.32887147008218e-169	CPLM	1.214	13124	4001	70
ACTG1	groups	respiratory failure	0.641053546886462	0.0227915081570191	4.52411604668018e-169	3.37445832187675e-167	CPLM	1.408	13124	11304	14
NT5C2	groups	respiratory failure	1.01532409428387	0.0361805871996293	2.48402226181284e-168	1.81715782383386e-166	CPLM	1.185	13124	5860	55
ABCA13	groups	respiratory failure	-0.9888238945176	0.0356918227197597	3.1275848701406e-164	2.24477978226695e-162	CPLM	1.366	13124	8206	37
HAGHL	groups	respiratory failure	-1.4413759761983	0.0522259098517748	4.95888666481785e-163	3.49326016166057e-161	CPLM	1.181	13124	4303	67
GCLC	groups	COVID-19	-0.794998488042094	0.0288578699602847	1.8336856342261e-162	1.26824366410838e-160	CPLM	1.233	13124	6666	49
ADH7	groups	respiratory failure	-1.20941521171102	0.0443304273866531	1.8760135211631e-159	1.27434918473293e-157	CPLM	1.32	13124	6575	50
BASP1	groups	respiratory failure	-1.00196932138325	0.0367354341489323	2.22204513203943e-159	1.48292275127684e-157	CPLM	1.314	13124	6650	49
IL1RN	groups	respiratory failure	2.63336118046348	0.0974178263103871	1.17761684525427e-156	7.7235422057711e-155	CPLM	1.477	13124	2600	80
FUT6	groups	respiratory failure	2.11842957120664	0.0784321142666435	2.06400560425225e-156	1.33075886755518e-154	CPLM	1.204	13124	2552	81
HOPX	groups	respiratory failure	2.94908464473619	0.109678364847939	4.58256824624974e-155	2.90534826812234e-153	CPLM	1.462	13124	1570	88
EVPL	groups	respiratory failure	1.28757385557152	0.0479011898375995	5.72049659921494e-155	3.56733919072354e-153	CPLM	1.196	13124	3429	74
MBOAT2	groups	respiratory failure	1.35725651844037	0.0505360770973843	1.01820657918622e-154	6.24719004391032e-153	CPLM	1.154	13124	3971	70
CTSB	groups	respiratory failure	0.882360809243838	0.0329665273216869	1.05417059454065e-153	6.36518244703595e-152	CPLM	1.361	13124	9884	25
GSTA2	groups	respiratory failure	-2.11738931928018	0.0792413546948198	3.27152997622763e-153	1.9445156296203e-151	CPLM	1.364	13124	3257	75
