feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
IFI27	disease__ontology_label	COVID-19	2.21529851172272	0.346767585208858	4.03981843178599e-08	0.000291109316194498	CPLM	1.455	58	45	22
TRIM17	disease__ontology_label	long COVID-19	1.92466665330762	0.343737788161368	7.42452476435855e-07	0.00267505627259839	CPLM	1.01	58	7	88
IFI6	disease__ontology_label	COVID-19	3.30988874429468	0.641829832599927	3.66737583594404e-06	0.00880903675793759	CPLM	1.49	58	30	48
HIST3H2A	disease__ontology_label	respiratory failure	2.24020233079903	0.532042577191886	9.70531049472552e-05	0.139872934849984	CPLM	1.396	58	27	53
RFK	disease__ontology_label	long COVID-19	2.18679976738241	0.518664984315443	9.52483492632234e-05	0.139872934849984	CPLM	1.01	58	32	45
C6orf48	disease__ontology_label	long COVID-19	1.67655092333285	0.404720765742656	0.000121637785707121	0.146086980634253	CPLM	1.01	58	31	47
IFITM3	disease__ontology_label	COVID-19	2.08162355107632	0.52604960285985	0.000223131286975055	0.147734621391241	CPLM	1.431	58	34	41
CSRNP1	disease__ontology_label	long COVID-19	2.45470007602086	0.620887930115339	0.000225714420745735	0.147734621391241	CPLM	1.115	58	27	53
MYO9A	disease__ontology_label	COVID-19	-1.42748806859929	0.365465356893852	0.000263199005336947	0.147734621391241	CPLM	1.115	58	22	62
EPM2AIP1	disease__ontology_label	COVID-19	-1.61234455491684	0.408595060993634	0.000231231524769874	0.147734621391241	CPLM	1.01	58	21	64
RGL1	disease__ontology_label	COVID-19	-1.69428766601422	0.426110410966856	0.00020974222367078	0.147734621391241	CPLM	1.147	58	16	72
PARM1	disease__ontology_label	long COVID-19	2.0695303674755	0.519110299809893	0.000202698978897882	0.147734621391241	CPLM	1.145	58	33	43
UVSSA	disease__ontology_label	COVID-19	-1.25856384819957	0.32253914283805	0.000266520965596189	0.147734621391241	CPLM	1.01	58	24	59
LENG8	disease__ontology_label	COVID-19	-1.53814487868823	0.399018543070704	0.0003101399013204	0.159633437779629	CPLM	1.01	58	23	60
MUCL1	disease__ontology_label	respiratory failure	2.64704728678968	0.696929131923861	0.000371564572474954	0.167343394328408	CPLM	1.51	58	19	67
KHDC4	disease__ontology_label	COVID-19	-1.20085905617081	0.315409693841223	0.000360920581694481	0.167343394328408	CPLM	1.01	58	29	50
HLADRA	disease__ontology_label	long COVID-19	2.40525819662511	0.651557850403288	0.000520205679768892	0.208686794943253	CPLM	1.357	58	32	45
MRPS6	disease__ontology_label	long COVID-19	1.71879479774484	0.46896550857647	0.000565132094328703	0.208686794943253	CPLM	1.01	58	34	41
IER5	disease__ontology_label	long COVID-19	2.36839145335316	0.650380670340896	0.000608163016071097	0.208686794943253	CPLM	1.278	58	31	47
EHBP1L1	disease__ontology_label	COVID-19	-1.62513867605264	0.444994978351549	0.000588603032991312	0.208686794943253	CPLM	1.154	58	26	55
USP12	disease__ontology_label	COVID-19	-1.20177394522135	0.32724841596288	0.000552415518087106	0.208686794943253	CPLM	1.01	58	23	60
HLADPB1	disease__ontology_label	long COVID-19	2.82556716647979	0.781922564748652	0.000663312525276249	0.217265002597302	CPLM	1.124	58	14	76
SPRR2E	disease__ontology_label	COVID-19	-2.98164686462278	0.838725586622019	0.000795045410235397	0.226027285446237	CPLM	1.651	58	9	84
SLC5A3	disease__ontology_label	long COVID-19	2.42658839270464	0.684182202793813	0.000815530033527917	0.226027285446237	CPLM	1.403	58	32	45
GADD45B	disease__ontology_label	long COVID-19	2.3835065771201	0.667825272936735	0.000761300090416706	0.226027285446237	CPLM	1.441	58	38	34
GIPR	disease__ontology_label	COVID-19	-1.61778780038366	0.45465983024205	0.000787098363725575	0.226027285446237	CPLM	1.204	58	18	69
PLXNB1	disease__ontology_label	COVID-19	-0.941322261100182	0.266472687646709	0.000851788440431756	0.227332870435231	CPLM	1.269	58	35	40
MTRNR2L1	disease__ontology_label	respiratory failure	-5.19917698756263	1.50614619864272	0.00108888983563326	0.245204379861664	CPLM	1.71	58	34	41
