feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
IFI27	disease__ontology_label	normal	-2.21529851171595	0.346767585197156	4.03981842883931e-08	0.00029110931598216	CPLM	1.455	58	45	22
HIST3H2A	disease__ontology_label	respiratory failure	2.5644462585452	0.42326058327278	1.37242906716883e-07	0.00049448619290093	CPLM	1.396	58	27	53
PHLDA3	disease__ontology_label	respiratory failure	1.73214069631093	0.292642772882015	2.29946912071566e-07	0.000552332482795901	CPLM	1.01	58	24	59
IFI6	disease__ontology_label	normal	-3.30988874429499	0.641829832564708	3.66737583222982e-06	0.00528542204940962	CPLM	1.49	58	30	48
ATP6V1B2	disease__ontology_label	respiratory failure	1.69099314235766	0.327607205441639	3.60640508346549e-06	0.00528542204940962	CPLM	1.206	58	24	59
PIM3	disease__ontology_label	long COVID-19	1.66443033594881	0.326436610866837	4.51316592770046e-06	0.00542031227916826	CPLM	1.01	58	33	43
MRPS6	disease__ontology_label	long COVID-19	1.79024115368527	0.378420510408395	1.64922291124097e-05	0.0156847196854004	CPLM	1.01	58	34	41
FXYD5	disease__ontology_label	respiratory failure	2.48981416960319	0.528040005066808	1.74129555208442e-05	0.0156847196854004	CPLM	1.173	58	6	90
RPTN	disease__ontology_label	respiratory failure	4.75769059345996	1.05028438034931	3.30020828725603e-05	0.0260950588132087	CPLM	1.629	58	8	86
HLADPB1	disease__ontology_label	long COVID-19	2.33995669958655	0.519670380270138	3.62129597740892e-05	0.0260950588132087	CPLM	1.124	58	14	76
C6orf48	disease__ontology_label	long COVID-19	1.3569779613765	0.310177926050588	5.59392209156503e-05	0.0343523021028593	CPLM	1.01	58	31	47
SMS	disease__ontology_label	respiratory failure	1.21695217289801	0.278592922602996	5.72061650339039e-05	0.0343523021028593	CPLM	1.01	58	35	40
TUFT1	disease__ontology_label	respiratory failure	1.64818860924265	0.385852035714576	7.91779948822999e-05	0.0410214339565701	CPLM	1.229	58	22	62
MIDN	disease__ontology_label	long COVID-19	1.65093307771275	0.386671384709896	7.96974847893396e-05	0.0410214339565701	CPLM	1.14	58	34	41
RFK	disease__ontology_label	long COVID-19	1.43786861994119	0.343344949657625	0.000104675181932819	0.0502859574005262	CPLM	1.01	58	32	45
MUCL1	disease__ontology_label	respiratory failure	2.12402463266504	0.510178858798619	0.000113546310382311	0.0509722113232261	CPLM	1.51	58	19	67
CBL	disease__ontology_label	respiratory failure	1.44311639527318	0.348077973016805	0.000120250845475277	0.0509722113232261	CPLM	1.01	58	18	69
CALML3	disease__ontology_label	respiratory failure	3.07914690200705	0.750804532895774	0.000139413046080476	0.0558116894475505	CPLM	1.447	58	6	90
PHLDA1	disease__ontology_label	respiratory failure	2.28387532858805	0.571742900584655	0.000197560595440605	0.0694272653121563	CPLM	1.448	58	19	67
IFI6	disease__ontology_label	respiratory failure	-4.14054062468775	1.04372496001343	0.00021602006935367	0.0694272653121563	CPLM	1.49	58	30	48
IFITM3	disease__ontology_label	normal	-2.08162355107078	0.526049602844573	0.000223131286899611	0.0694272653121563	CPLM	1.431	58	34	41
EPM2AIP1	disease__ontology_label	normal	1.61234455491683	0.408595060993634	0.000231231524769879	0.0694272653121563	CPLM	1.01	58	21	64
RGL1	disease__ontology_label	normal	1.69428766598545	0.42611041095845	0.000209742223663351	0.0694272653121563	CPLM	1.147	58	16	72
