feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
KRT13	groups	respiratory failure	3.37717871977778	0.0830722464791617	0	0	CPLM	1.599	13124	2058	84
EMP1	groups	respiratory failure	2.54594047547748	0.0629659174736828	0	0	CPLM	1.608	13124	3113	76
HOPX	groups	respiratory failure	3.23385189111029	0.0740984671622042	0	0	CPLM	1.469	13124	1570	88
CEACAM6	groups	respiratory failure	1.72781868599327	0.0436287881717286	0	0	CPLM	1.521	13124	3823	71
KRT23	groups	respiratory failure	1.84564942033725	0.0389939031269981	0	0	CPLM	1.477	13124	5173	61
FAM83A	groups	respiratory failure	2.24170011468977	0.0530861092820243	0	0	CPLM	1.376	13124	1807	86
TP53INP2	groups	respiratory failure	2.18557373200446	0.0436120466902503	0	0	CPLM	1.385	13124	3089	76
PPL	groups	respiratory failure	1.52279673475476	0.0296435153479395	0	0	CPLM	1.454	13124	7364	44
EPS8L1	groups	respiratory failure	1.33927869247623	0.0323627149246903	0	0	CPLM	1.39	13124	5127	61
ITGB8	groups	respiratory failure	1.55023052279607	0.0294139871060915	0	0	CPLM	1.415	13124	7319	44
HIST1H2AC	groups	respiratory failure	1.64686046262636	0.035940597164271	0	0	CPLM	1.335	13124	4014	69
SPINT1	groups	respiratory failure	1.39224340330166	0.0344513341853438	0	0	CPLM	1.338	13124	4105	69
IFI27	groups	normal	-1.41486340946705	0.0350807736491289	0	0	CPLM	1.447	13124	9467	28
RAB11FIP1	groups	respiratory failure	1.04323905405037	0.0231778147609099	0	0	CPLM	1.39	13124	8842	33
TMBIM1	groups	respiratory failure	1.42482404862381	0.0336376267224264	0	0	CPLM	1.299	13124	4035	69
TACSTD2	groups	respiratory failure	0.802891723634925	0.0198801945229068	0	0	CPLM	1.438	13124	9886	25
PIK3IP1	groups	respiratory failure	1.43297685220601	0.0318306294791786	0	0	CPLM	1.245	13124	4215	68
EVPL	groups	respiratory failure	1.58985848642743	0.0338274697248418	0	0	CPLM	1.211	13124	3429	74
TTC9	groups	respiratory failure	1.21125836864209	0.0245588707540351	0	0	CPLM	1.241	13124	5852	55
NECTIN4	groups	respiratory failure	1.30216116629818	0.0313169476541349	0	0	CPLM	1.228	13124	4001	70
SH3BGRL2	groups	respiratory failure	1.38119893877922	0.0311711836271045	0	0	CPLM	1.132	13124	3832	71
SNX18	groups	respiratory failure	1.48918282725451	0.0336761344672087	0	0	CPLM	1.139	13124	3002	77
CDKN1B	groups	respiratory failure	1.35224141271283	0.0322674738591848	0	0	CPLM	1.117	13124	4091	69
NT5C2	groups	respiratory failure	1.06455965490582	0.0248038288326064	0	0	CPLM	1.203	13124	5860	55
USP6NL	groups	respiratory failure	1.32527811971584	0.0317423748449842	0	0	CPLM	1.01	13124	3264	75
ANXA11	groups	respiratory failure	0.818272911876872	0.0171892463682156	0	0	CPLM	1.243	13124	8665	34
BCAS1	groups	respiratory failure	1.00342298174549	0.0222660804634798	0	0	CPLM	1.215	13124	6377	51
PDLIM5	groups	respiratory failure	1.03973361290409	0.0232129403242452	0	0	CPLM	1.134	13124	5849	55
SCEL	groups	respiratory failure	2.19288162890543	0.0554020723542873	9.88131291682493e-324	2.09483833836689e-321	CPLM	1.509	13124	2776	79
