feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
PLAT	sex	male	3.4026017568398	0.914100133779179	0.000459649930338726	0.220815826534724	CPLM	1.432	58	9	84
ZNF117	sex	male	2.25302556401678	0.586982858234485	0.000317343711066358	0.220815826534724	CPLM	1.241	58	19	67
ANXA11	sex	male	0.613168491817875	0.152978722314345	0.000182642585342026	0.220815826534724	CPLM	1.276	58	46	21
SLIRP	sex	male	-1.19546571191535	0.320608200155832	0.000450423995800776	0.220815826534724	CPLM	1.01	58	29	50
CASP1	sex	male	-1.5675938769503	0.395617313565394	0.000212206657267258	0.220815826534724	CPLM	1.01	58	18	69
ADAM28	sex	male	-1.60225935187919	0.451627129751836	0.000794312417718613	0.259405895581555	CPLM	1.408	58	24	59
ADH7	sex	male	-1.0115132713663	0.293385244408501	0.00107995793331205	0.259405895581555	CPLM	1.305	58	33	43
TNFAIP8	sex	male	-1.18644270145938	0.338726718006632	0.000912829524780149	0.259405895581555	CPLM	1.01	58	29	50
POLB	sex	male	1.33993328847279	0.383410411359451	0.000935193819713307	0.259405895581555	CPLM	1.372	58	26	55
CYFIP2	sex	male	-2.01210470144579	0.583202087715974	0.00107218884246292	0.259405895581555	CPLM	1.234	58	14	76
ERV31	sex	male	1.48853619268199	0.451046049955732	0.00168455857899088	0.367846336976008	CPLM	1.219	58	18	69
HOPX	sex	male	2.54079313388523	0.777101605201819	0.00184487998018736	0.36928347603417	CPLM	1.494	58	13	78
ADH6	sex	male	-2.10615187883124	0.653118446588683	0.00210574106861335	0.389076157446868	CPLM	1.191	58	10	83
KRT13	sex	male	2.62478032006273	0.855103796088111	0.00330293282331228	0.390682301473579	CPLM	1.677	58	14	76
HIST1H1C	sex	male	1.66696943827991	0.546239680470449	0.00347539373335034	0.390682301473579	CPLM	1.528	58	30	48
FMO2	sex	male	2.28455892949525	0.763879358919976	0.00413104111992743	0.390682301473579	CPLM	1.6	58	16	72
NCOA7	sex	male	-1.96992857303245	0.7037645923428	0.00701610018250508	0.390682301473579	CPLM	1.56	58	23	60
RNASE1	sex	male	-2.48383550019128	0.819760326238757	0.00369734208418034	0.390682301473579	CPLM	1.357	58	6	90
XDH	sex	male	1.17774831859838	0.415688596455083	0.00639425301773542	0.390682301473579	CPLM	1.237	58	21	64
PHLDA1	sex	male	1.69220096245344	0.598077139231777	0.00646168385277697	0.390682301473579	CPLM	1.541	58	19	67
TCN1	sex	male	1.88850941978598	0.676185135862808	0.00713573663987076	0.390682301473579	CPLM	1.362	58	14	76
ZFAND2A	sex	male	1.59828071031881	0.568076475478009	0.00674775069809867	0.390682301473579	CPLM	1.175	58	19	67
KLK8	sex	male	3.86669332489706	1.25087059826722	0.00310420947732066	0.390682301473579	CPLM	1.36	58	6	90
CES1	sex	male	-1.095553622203	0.37148474790765	0.00464268520498531	0.390682301473579	CPLM	1.414	58	25	57
NCF2	sex	male	-1.48387061823778	0.512064421144068	0.00535450082886651	0.390682301473579	CPLM	1.01	58	18	69
DUSP4	sex	male	1.28660995879352	0.449677473393652	0.00592339436984669	0.390682301473579	CPLM	1.465	58	27	53
PAQR4	sex	male	-1.74559751778882	0.607899065638346	0.00575739089802968	0.390682301473579	CPLM	1.31	58	9	84
CLDN4	sex	male	-0.534213469916682	0.169080929220269	0.00254826346103311	0.390682301473579	CPLM	1.224	58	44	24
TCF7	sex	male	-2.13086441225526	0.685075531403072	0.00293738472686664	0.390682301473579	CPLM	1.01	58	8	86
SLC20A1	sex	male	-0.826132812212942	0.292611047874215	0.00656983286900357	0.390682301473579	CPLM	1.091	58	33	43
PTPRZ1	sex	male	-1.78655599929429	0.639926973233436	0.00715654507278829	0.390682301473579	CPLM	1.247	58	8	86
ITPR1	sex	male	-3.06017224449565	0.96607201804543	0.00248870500439202	0.390682301473579	CPLM	1.01	58	9	84
RBM20	sex	male	-2.1007783955412	0.752091236011011	0.007128760717341	0.390682301473579	CPLM	1.17	58	9	84
SULF2	sex	male	3.13126121999731	1.05762583552857	0.00449530858224503	0.390682301473579	CPLM	1.171	58	13	78
VTCN1	sex	male	-1.33067569200094	0.473395292018422	0.006795179782414	0.390682301473579	CPLM	1.13	58	11	81
HEY1	sex	male	-1.6013329200958	0.557068509781199	0.0057093284373318	0.390682301473579	CPLM	1.01	58	12	79
CDYL	sex	male	1.05613767706955	0.349147390964015	0.00375068023726039	0.390682301473579	CPLM	1.385	58	34	41
CMPK2	sex	male	-1.47891224416265	0.501654782285631	0.0046563760038603	0.390682301473579	CPLM	1.01	58	15	74
