feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
CDKL1	Bloody_Swab	Yes	2.0832511293232	0.397112947637917	2.46559588717386e-06	0.00592236132099161	CPLM	1.227	58	20	66
ASXL1	Bloody_Swab	Yes	1.64163483069338	0.337130838997873	9.54281200482232e-06	0.0114609172177916	CPLM	1.01	58	21	64
CFAP300	Bloody_Swab	Yes	1.6945823465269	0.431641076846677	0.000239018732881962	0.0956871660637455	CPLM	1.297	58	23	60
NEK2	Bloody_Swab	Yes	2.38356089383875	0.602586953970584	0.000217009742088134	0.0956871660637455	CPLM	1.097	58	7	88
PIH1D2	Bloody_Swab	Yes	1.88191647669393	0.457172198069151	0.000127719859166248	0.0956871660637455	CPLM	1.181	58	20	66
RGS10	Bloody_Swab	Yes	2.06027289124466	0.524727427410538	0.000238659970731824	0.0956871660637455	CPLM	1.01	58	7	88
CASP1	Bloody_Swab	Yes	1.60470797771185	0.429377381742551	0.000438364824966387	0.10610018019971	CPLM	1.01	58	18	69
ST3GAL6	Bloody_Swab	Yes	1.95457363319414	0.523327896492592	0.000441715987509202	0.10610018019971	CPLM	1.116	58	11	81
PIM2	Bloody_Swab	Yes	2.16196181087179	0.574591244725876	0.000404432235311904	0.10610018019971	CPLM	1.01	58	13	78
PPP1R36	Bloody_Swab	Yes	1.86669478545576	0.490923406608266	0.000356120963241301	0.10610018019971	CPLM	1.251	58	17	71
HIST1H4C	Bloody_Swab	Yes	1.61172093954609	0.446926478883718	0.000662314553911287	0.119266659139297	CPLM	1.01	58	25	57
TCTEX1D4	Bloody_Swab	Yes	1.71345428498012	0.470401458902785	0.000591208571259889	0.119266659139297	CPLM	1.298	58	23	60
LIMS1	Bloody_Swab	Yes	1.14142085307798	0.319858474314392	0.000744795956323672	0.119266659139297	CPLM	1.108	58	31	47
PLCH1	Bloody_Swab	Yes	1.60043975539153	0.447384039337189	0.000724693550827526	0.119266659139297	CPLM	1.149	58	16	72
RAMP1	Bloody_Swab	Yes	2.50428793772923	0.690604676286856	0.000622204168208179	0.119266659139297	CPLM	1.182	58	8	86
RSPH9	Bloody_Swab	Yes	1.65004757320124	0.477529472268515	0.00105504025676568	0.158387918546948	CPLM	1.368	58	23	60
PSCA	Bloody_Swab	Yes	-3.68703887595984	1.07697785385057	0.00116256938744215	0.16426421580212	CPLM	1.662	58	48	17
